sex,age,address,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,extra-curricular activities,health,absences,Test1,Test2,Final Exam
F,18,U,4,4,at_home,teacher,mother,2,2,0,no,3,4,0,55,55
F,17,U,1,1,at_home,other,father,1,2,0,no,3,2,45,55,55
F,15,U,1,1,at_home,other,mother,1,2,0,no,3,6,60,65,60
F,15,U,4,2,health,services,mother,1,3,0,yes,5,0,70,70,70
F,16,U,3,3,other,other,father,1,2,0,no,5,0,55,65,65
M,16,U,4,3,services,other,mother,1,2,0,yes,5,6,60,60,65
M,16,U,2,2,other,other,mother,1,2,0,no,3,0,65,60,65
F,17,U,4,4,other,teacher,mother,2,2,0,no,1,2,50,65,65
M,15,U,3,2,services,other,mother,1,2,0,no,1,0,75,80,85
M,15,U,3,4,other,other,mother,1,2,0,yes,5,0,60,60,65
F,15,U,4,4,teacher,health,mother,1,2,0,no,2,2,70,70,70
F,15,U,2,1,services,other,father,3,3,0,yes,4,0,50,60,65
M,15,U,4,4,health,services,father,1,1,0,yes,5,0,60,65,60
M,15,U,4,3,teacher,other,mother,2,2,0,no,3,0,60,60,65
M,15,U,2,2,other,other,other,1,3,0,no,3,0,70,70,75
F,16,U,4,4,health,other,mother,1,1,0,no,2,6,85,85,85
F,16,U,4,4,services,services,mother,1,3,0,yes,2,10,65,65,70
F,16,U,3,3,other,other,mother,3,2,0,yes,4,2,65,70,70
M,17,U,3,2,services,services,mother,1,1,3,yes,5,2,40,40,35
M,16,U,4,3,health,other,father,1,1,0,yes,5,6,60,60,60
M,15,U,4,3,teacher,other,mother,1,2,0,no,1,0,60,65,70
M,15,U,4,4,health,health,father,1,1,0,no,5,0,55,60,60
M,16,U,4,2,teacher,other,mother,1,2,0,yes,5,0,60,65,70
M,16,U,2,2,other,other,mother,2,2,0,yes,5,2,50,50,50
F,15,R,2,4,services,health,mother,1,3,0,yes,5,2,50,55,50
F,16,U,2,2,services,services,mother,1,1,0,no,5,6,50,55,60
M,15,U,2,2,other,other,mother,1,1,0,no,5,8,55,60,60
M,15,U,4,2,health,services,mother,1,1,0,no,1,0,55,55,55
M,16,U,3,4,services,other,mother,1,2,0,yes,5,2,60,60,65
M,16,U,4,4,teacher,teacher,mother,1,2,0,yes,5,4,60,55,60
M,15,U,4,4,health,services,mother,1,2,0,no,5,0,50,55,55
M,15,U,4,4,services,services,mother,2,2,0,yes,5,2,75,75,75
M,15,R,4,3,teacher,at_home,mother,1,2,0,yes,5,0,65,70,75
M,15,U,3,3,other,other,mother,1,2,0,yes,2,0,65,60,60
M,16,U,3,2,other,other,mother,1,1,0,no,5,4,60,60,60
F,15,U,2,3,other,other,father,2,1,0,yes,5,4,55,55,55
M,15,U,4,3,teacher,services,mother,1,3,0,yes,4,0,70,70,70
M,16,R,4,4,other,teacher,mother,2,3,0,yes,5,4,65,65,65
F,15,R,3,4,services,health,mother,1,3,0,yes,5,2,55,60,60
F,15,R,2,2,at_home,other,mother,1,1,0,yes,2,8,70,65,60
F,16,U,2,2,other,other,mother,2,2,0,yes,3,16,55,55,50
M,15,U,4,4,teacher,other,other,1,1,0,no,5,8,50,55,55
M,15,U,4,4,services,teacher,father,1,2,0,yes,5,0,70,75,75
M,15,U,2,2,services,services,father,1,1,0,no,1,0,45,50,50
F,16,U,2,2,other,at_home,father,2,2,1,yes,5,14,50,55,55
F,15,U,4,3,other,other,mother,1,2,0,yes,5,4,50,55,55
F,16,U,3,3,other,services,mother,1,2,0,no,3,6,65,60,65
M,16,U,4,3,health,services,mother,1,4,0,yes,2,2,85,85,85
M,15,U,4,2,teacher,other,mother,1,2,0,no,5,4,55,60,65
F,15,U,4,4,services,teacher,father,1,2,0,yes,3,2,65,60,60
F,16,U,2,2,services,services,mother,3,2,0,no,4,0,70,65,65
F,15,U,4,2,health,other,mother,1,2,0,no,5,0,80,70,80
M,15,U,4,2,health,health,father,2,1,0,no,5,4,50,45,45
F,15,U,4,4,services,services,mother,1,1,0,no,5,0,65,60,60
F,15,U,3,3,other,other,mother,1,1,0,no,1,0,65,60,65
F,16,U,2,1,other,other,mother,1,2,0,yes,2,2,60,65,60
F,15,U,4,3,services,services,mother,1,2,0,yes,1,0,75,70,75
M,15,U,4,4,teacher,health,mother,1,2,0,yes,5,8,75,75,80
M,15,U,1,2,other,at_home,father,1,2,0,yes,5,0,70,65,70
F,16,U,4,2,services,other,mother,1,2,0,no,5,2,80,75,80
F,16,R,4,4,health,teacher,mother,1,2,0,yes,4,0,85,80,80
F,16,U,1,1,services,services,father,4,1,0,yes,5,0,50,50,80
F,16,U,1,2,other,services,father,1,2,0,yes,1,0,65,65,50
F,16,U,4,3,teacher,health,mother,1,3,0,yes,4,0,70,65,65
F,15,U,4,3,services,services,father,1,2,0,yes,2,0,65,60,60
F,16,U,4,3,teacher,services,mother,3,2,0,yes,1,2,80,75,80
M,15,U,4,4,other,services,mother,1,4,0,yes,3,0,55,60,60
F,16,U,3,1,services,other,mother,1,4,0,no,5,0,50,45,50
F,15,R,2,2,health,services,mother,2,2,0,no,4,0,55,50,55
F,15,R,3,1,other,other,father,2,4,0,no,3,6,75,75,75
M,16,U,3,1,other,other,father,2,4,0,no,5,2,65,55,55
M,15,U,4,2,other,other,mother,1,4,0,no,3,0,55,45,50
F,15,R,1,1,other,other,mother,1,2,0,no,5,2,65,55,55
M,16,U,3,1,other,other,mother,1,1,0,yes,5,0,65,65,70
F,16,U,3,3,other,services,mother,1,2,0,yes,5,4,55,55,55
M,15,U,4,3,teacher,other,mother,1,2,0,yes,5,0,55,55,55
M,15,U,4,0,teacher,other,mother,2,4,0,yes,1,0,60,55,55
F,16,U,2,2,other,other,mother,1,4,0,no,3,1,65,65,65
M,17,U,2,1,other,other,mother,2,1,3,yes,3,0,45,45,50
F,16,U,3,4,at_home,other,mother,1,2,0,no,3,14,60,55,55
M,15,U,2,3,other,services,father,1,1,0,yes,3,0,55,55,60
M,15,U,2,3,other,other,mother,1,3,0,no,5,2,50,45,45
F,15,U,3,2,services,other,mother,1,2,0,no,5,4,60,55,55
M,15,U,2,2,services,services,mother,2,2,0,yes,4,2,65,60,65
F,15,U,1,1,other,other,father,1,2,0,yes,4,2,65,60,60
F,15,U,4,4,services,services,father,2,2,0,no,5,4,60,55,60
F,16,U,2,2,at_home,other,mother,1,2,0,no,2,6,65,55,55
F,15,U,4,2,other,other,mother,1,3,0,yes,1,4,75,75,75
M,16,U,2,2,services,other,father,2,2,0,yes,3,6,60,50,55
M,16,U,4,4,teacher,health,mother,1,2,0,no,5,6,45,45,50
F,16,U,3,3,other,other,mother,1,3,0,no,4,2,45,55,55
F,15,U,4,3,services,other,mother,1,1,0,yes,1,6,70,65,65
F,16,U,3,1,other,other,father,1,2,0,no,2,0,60,65,60
F,16,U,4,2,teacher,services,mother,2,2,0,yes,1,2,65,70,70
M,15,U,2,2,services,health,mother,1,4,0,yes,4,2,55,60,60
F,15,R,1,1,at_home,other,mother,2,4,0,yes,1,4,65,65,65
M,16,R,4,3,services,other,mother,2,1,0,yes,4,6,45,55,55
F,16,U,2,1,other,other,mother,1,2,0,no,5,0,65,60,60
F,16,U,4,4,other,other,mother,1,1,0,yes,1,4,60,65,65
